City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Adelaide,165.9,84.8,66.6,68.4,80.1,10.6,45.1,28.8,95.0
"Albuquerque, NM",159.0,126.6,28.4,62.6,68.4,3.7,33.2,39.0,67.1
"Atlanta, GA",169.8,143.6,35.6,66.8,83.0,3.0,41.3,45.2,89.7
"Austin, TX",181.7,141.2,58.9,68.0,72.2,4.2,37.2,43.2,82.1
Barcelona,144.5,80.6,48.6,76.9,54.1,11.8,30.5,63.3,95.7
Belo Horizonte,109.0,24.9,36.9,64.5,34.4,18.1,43.6,52.0,98.5
Berlin,165.7,108.5,55.5,67.8,65.4,11.3,33.6,38.5,83.3
Birmingham,157.3,109.3,36.4,72.1,60.6,7.0,33.4,49.4,87.7
"Boston, MA",164.9,120.8,58.3,68.7,87.4,7.7,46.6,36.3,71.7
Brasilia,132.5,37.0,40.5,51.8,35.0,17.3,30.6,30.2,99.0
Brisbane,175.6,108.0,63.4,71.4,68.9,10.9,44.7,30.5,98.1
Calgary,168.7,108.9,61.5,72.4,70.9,4.6,32.8,26.2,33.1
Canberra,159.7,77.6,71.8,66.3,86.2,12.3,43.9,27.8,82.7
Cape Town,155.9,95.7,26.3,68.7,34.8,5.3,42.5,38.5,98.2
"Charlotte, NC",175.0,115.5,52.8,69.2,76.5,3.8,36.6,35.3,84.0
"Chicago, IL",148.0,127.3,33.6,63.9,81.3,2.8,42.9,52.3,66.1
Cologne,180.7,115.6,58.1,74.9,61.8,7.1,33.5,34.1,84.8
"Columbus, OH",173.1,114.2,49.4,68.5,71.6,4.0,31.1,32.7,71.3
Curitiba,133.7,35.3,37.7,66.4,33.5,18.5,32.7,31.2,99.6
"Dallas, TX",178.8,144.5,48.6,66.1,73.6,2.7,36.2,43.2,81.9
"Denver, CO",162.8,125.0,53.1,69.3,79.2,4.1,36.6,44.8,56.3
Dnipro,95.8,35.0,45.8,52.8,27.4,12.3,33.5,80.5,69.5
