Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Australia,167.12,97.42,63.53,68.93,75.93,11.87,46.1,29.97,93.82
Brazil,105.83,30.22,32.77,58.75,35.73,19.77,40.15,52.65,97.17
Canada,156.11,90.28,59.78,69.19,68.4,10.7,36.23,30.18,54.68
Germany,179.98,117.53,61.45,74.07,65.68,9.68,31.55,34.08,82.12
Mexico,108.6,41.73,40.7,71.67,50.4,13.43,42.3,70.53,88.53
Russia,111.78,51.96,60.96,62.34,30.66,15.68,40.86,57.82,39.86
South Africa,145.07,95.68,20.75,63.72,34.67,3.45,38.5,51.95,95.25
Spain,176.03,88.97,64.27,79.0,51.13,8.37,26.5,40.67,91.67
Ukraine,108.28,36.16,52.12,54.34,28.1,14.64,36.7,62.66,70.7
United Kingdom,158.8,97.36,50.02,74.8,68.5,9.24,35.82,44.78,86.34
United States,164.75,124.29,47.68,66.27,78.12,5.07,38.77,44.12,79.13
