,Country,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
0,Australia,Brisbane,197.2,143.8,63.2,74.5,64.2,8.7,40.6,28.5,98.1
1,Australia,Melbourne,196.3,151.9,56.3,73.1,65.1,7.5,41.8,27.4,94.3
2,Australia,Perth,195.1,143.6,58.4,71.2,65.8,5.9,41.7,27.9,95.7
3,Australia,Adelaide,193.5,118.4,67.5,73.9,70.5,7.8,35.5,24.3,95.0
4,Australia,Canberra,184.9,110.3,73.6,70.6,74.5,9.6,37.4,24.1,82.7
5,Australia,Sydney,181.3,122.0,65.9,74.8,73.4,14.6,43.4,28.6,97.1
6,Brazil,Curitiba,139.5,43.2,38.3,67.4,28.8,17.1,32.9,31.1,99.6
7,Brazil,Brasilia,137.1,46.8,40.6,51.8,30.7,17.3,30.6,30.0,99.0
8,Brazil,Porto Alegre,118.0,39.2,29.4,64.4,29.8,14.5,31.3,56.9,98.7
9,Brazil,Belo Horizonte,115.0,30.7,39.3,64.7,28.8,16.3,43.6,52.0,98.5
10,Brazil,Sao Paulo,81.2,33.8,29.7,60.2,33.8,23.0,50.6,78.7,99.0
11,Brazil,Rio de Janeiro,71.1,26.7,22.5,45.5,32.1,24.4,51.8,67.3,88.2
12,Canada,Calgary,183.2,131.6,61.5,74.1,65.3,4.3,29.0,23.4,33.1
13,Canada,Mississauga,176.0,124.9,56.5,69.9,59.9,9.5,37.3,23.5,58.7
14,Canada,Ottawa,175.9,116.6,69.3,68.8,64.6,7.9,34.1,24.5,44.5
15,Canada,Edmonton,175.6,126.1,53.5,77.1,58.9,4.0,28.3,28.8,32.1
16,Canada,Vancouver,175.1,106.3,57.7,72.1,68.6,13.4,36.7,25.4,91.2
17,Canada,Victoria,171.4,83.8,58.9,66.3,70.4,13.2,32.7,18.4,92.5
18,Canada,Quebec City,167.9,108.7,77.6,69.3,62.4,10.5,33.4,37.0,48.0
19,Canada,Halifax,167.1,96.8,59.0,66.1,64.8,9.0,31.4,24.1,59.0
20,Canada,Toronto,160.6,118.5,56.6,74.3,66.6,12.7,44.7,37.5,65.3
21,Canada,Montreal,158.5,104.6,67.5,62.3,61.7,11.0,39.7,33.7,52.4
22,Canada,Winnipeg,145.9,104.9,39.7,68.4,59.4,6.1,31.3,35.7,24.7
23,Germany,Stuttgart,208.5,176.3,65.7,76.7,63.3,6.2,29.0,38.4,81.1
24,Germany,Frankfurt,207.7,171.7,53.8,76.7,63.6,6.8,23.7,32.7,84.7
25,Germany,Munich,194.4,127.6,79.5,77.4,70.4,13.5,30.8,25.0,76.0
26,Germany,Hamburg,193.2,146.2,57.7,74.9,67.4,9.2,32.7,29.1,82.8
27,Germany,Cologne,191.1,156.4,57.5,72.8,62.5,7.8,35.9,38.4,84.8
28,Germany,Berlin,177.0,134.1,55.3,67.5,64.9,9.9,33.9,38.7,83.3
29,India,Pune,163.2,152.2,59.0,65.7,23.4,6.2,44.1,71.4,74.3
30,India,Hyderabad,156.9,142.0,56.7,65.4,22.2,4.8,42.4,76.1,73.5
31,India,Gurgaon,137.8,142.3,46.6,65.1,25.4,7.5,35.4,90.9,59.9
32,India,Chennai,136.9,112.4,60.1,69.4,21.2,8.6,46.7,74.4,53.2
33,India,Bangalore,133.6,122.2,45.5,65.1,25.0,9.3,53.7,82.9,89.4
34,India,Ahmedabad,126.8,68.3,67.9,67.2,21.8,7.8,39.0,72.5,49.3
35,India,Delhi,117.2,125.6,41.0,66.2,23.5,8.3,57.8,90.2,58.9
36,India,Kolkata,107.8,72.2,54.1,59.9,20.2,8.4,59.4,78.4,60.9
37,India,Mumbai,87.6,71.3,55.4,65.3,26.6,32.9,54.9,83.5,71.5
38,Italy,Turin,148.1,103.4,48.1,66.2,54.7,6.9,28.0,68.9,85.7
39,Italy,Rome,146.4,94.4,50.7,63.4,53.8,12.8,37.7,54.5,93.7
40,Italy,Milan,125.4,73.3,48.6,71.3,66.1,16.7,35.8,67.2,88.1
41,Mexico,Monterrey,129.7,64.2,51.8,69.0,44.8,8.3,31.8,71.2,80.4
42,Mexico,Guadalajara,121.7,47.8,37.5,80.0,38.8,15.2,41.8,58.9,92.8
43,Mexico,Mexico City,89.3,42.4,32.3,65.9,41.2,16.2,52.9,81.3,92.4
44,Netherlands,The Hague (Den Haag),228.6,151.4,79.8,80.7,59.4,5.7,21.0,18.3,90.6
45,Netherlands,Eindhoven,222.0,149.9,78.3,78.1,61.2,5.9,24.1,19.2,85.4
46,Netherlands,Rotterdam,217.4,146.7,71.5,81.2,60.5,5.7,22.7,23.6,87.9
47,Netherlands,Amsterdam,203.5,132.1,71.2,78.2,70.9,9.9,24.1,24.5,87.5
48,Pakistan,Islamabad,129.2,35.0,68.8,64.9,21.3,22.9,36.5,41.3,76.9
49,Pakistan,Lahore,101.3,28.7,63.5,61.6,18.4,17.4,34.7,78.7,67.6
50,Pakistan,Karachi,85.3,29.3,43.4,56.7,18.1,11.9,42.5,89.4,71.3
51,Poland,Poznan,154.5,97.2,71.7,57.0,40.9,9.0,32.5,59.2,77.4
52,Poland,Gdansk,153.7,101.3,67.4,51.0,42.1,12.1,30.1,52.2,75.5
53,Poland,Warsaw,152.9,102.6,74.7,58.4,44.7,11.8,34.9,60.0,74.6
54,Poland,Wroclaw,151.7,96.4,73.8,57.8,42.5,10.5,34.0,61.9,78.4
